Diameter_ft,Height_ft,Cost_USD,Log_Cost,Capacity_gal,Log_Capacity_gal,Cost_Float_USD,Log_Cost_Float,Capacity_m3,Log_Capacity_m3
30,16,58500,10.97678203,11309.73355,9.33341901,93000,11.44035477,320.25599,5.769120645
30,24,66000,11.09741002,16964.60033,9.738884118,100500,11.51791301,480.383985,6.174585753
30,32,75000,11.22524339,22619.46711,10.02656619,109500,11.60367983,640.51198,6.462267825
38,24,85000,11.35040654,27218.75875,10.21166167,128700,11.76523939,770.749416,6.647363309
38,36,98500,11.49781183,40828.13813,10.61712678,142200,11.8649898,1156.124124,7.052828417
55,24,124000,11.72803684,57019.90666,10.95115573,187250,12.1401999,1614.62395,7.38685736
55,36,155750,11.95600744,85529.85999,11.35662083,219000,12.29682701,2421.935924,7.792322468
60,40,189250,12.15082417,113097.3355,11.6360041,258250,12.46168339,3202.5599,8.071705738
80,34,252000,12.43718437,170902.6404,12.04884932,344000,12.74839694,4839.423849,8.484550953
90,44,360750,12.79594048,279915.9054,12.5422445,464250,13.04817848,7926.335753,8.977946134
120,36,504000,13.13033155,407150.4079,12.91693795,642000,13.37234358,11529.21564,9.352639583
140,37,648500,13.38241728,569570.7481,13.25263828,809500,13.60417205,16128.4475,9.688339917
160,35,788500,13.57788769,703716.7544,13.46413122,972500,13.78762535,19927.03938,9.899832851
180,33,924000,13.73646735,839747.7163,13.64085679,1131000,13.93861276,23779.00726,10.07655842
200,36,1127750,13.93573506,1130973.355,13.9385892,1357750,14.12133948,32025.599,10.37429083
220,36,1288000,14.06860119,1368477.76,14.12920956,1541000,14.24794211,38750.97479,10.56491119
240,37,1512000,14.22894384,1673840.566,14.33063128,1788000,14.39660823,47397.88652,10.76633292
260,37,1680000,14.33430435,1964437.886,14.4907167,1979000,14.49810222,55626.68627,10.92641833
260,42,1876000,14.44465241,2229902.466,14.61746841,2175000,14.59253922,63143.80603,11.05317004
280,46,2236750,14.62053448,2832459.936,14.85665613,2558750,14.75502942,80206.3335,11.29235776
